Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;AC:A3:1E:93:30:00;;1;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Tue Oct  4 11:45:16 2022;Tue Oct  4 11:45:36 2022;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Honor 8X;DC:16:B2:A6:CA:85;;11;No;WPA2,AES-CCM;No;65.0;0;1;0;0;0;0;0;;;Tue Oct  4 11:45:15 2022;Tue Oct  4 11:45:29 2022;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ESGI;AC:A3:1E:90:98:C0;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;8;0;0;8;;;Tue Oct  4 11:45:15 2022;Tue Oct  4 11:45:35 2022;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ESGI;AC:A3:1E:90:98:A0;;1;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Tue Oct  4 11:45:09 2022;Tue Oct  4 11:45:36 2022;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;AC:A3:1E:90:9B:C0;;11;No;WPA,None;No;-1.0;0;0;0;11;0;0;11;;;Tue Oct  4 11:45:21 2022;Tue Oct  4 11:45:21 2022;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Freebox-4C2927;70:FC:8F:4C:29:28;;11;No;WPA2,AES-CCM;No;195.0;0;3;0;0;0;0;0;;;Tue Oct  4 11:45:21 2022;Tue Oct  4 11:45:35 2022;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;FreeWifi_secure;E4:9E:12:1F:5A:A1;;11;No;WPA2,AES-CCM,TKIP;No;195.0;0;1;0;0;0;0;0;;;Tue Oct  4 11:45:28 2022;Tue Oct  4 11:45:35 2022;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;AC:A3:1E:D0:D6:60;;11;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Tue Oct  4 11:45:28 2022;Tue Oct  4 11:45:35 2022;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;HUAWEI-LeaderAP-4300;C8:B6:D3:6B:43:00;;11;No;OPN,None;No;360.0;0;2;0;0;0;0;0;;;Tue Oct  4 11:45:21 2022;Tue Oct  4 11:45:35 2022;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ESGI;AC:A3:1E:90:9A:E0;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;20;0;0;20;;;Tue Oct  4 11:45:09 2022;Tue Oct  4 11:45:36 2022;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
