LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:84:C9:26:2F:C6,-42, ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-56, ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,4A:B4:BA:7B:F9:A5,-46, ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:90:98:A0,-62, ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:90:9C:20,-76, ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:90:9A:E0,-68, ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:90:9A:E0,-66, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-60, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-60, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-60, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-60, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-10-04 11:45:09,1900-01-00 00:00:00,,AC:A3:1E:D0:D6:A0,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
