
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:FC:8F:4C:29:29, 2022-10-04 11:45:15, 2022-10-04 11:45:15, 11, 195, WPA2, CCMP TKIP, MGT, -67,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
AC:A3:1E:90:9C:20, 2022-10-04 11:45:09, 2022-10-04 11:45:09,  1,  -1, WPA, ,   , -75,        0,        1,   0.  0.  0.  0,   0, , 
C8:B6:D3:6B:42:4B, 2022-10-04 11:45:29, 2022-10-04 11:45:29,  6, 360, OPN, ,   , -75,        0,        0,   0.  0.  0.  0,  14, hw_manage_4240, 
30:7E:CB:7D:4C:7C, 2022-10-04 11:45:29, 2022-10-04 11:45:29,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -75,        0,        0,   0.  0.  0.  0,   8, SFR_4C78, 
82:7E:CB:7D:4C:7D, 2022-10-04 11:45:29, 2022-10-04 11:45:29,  1, 130, OPN, ,   , -73,        0,        0,   0.  0.  0.  0,  12, SFR WiFi FON, 
AC:A3:1E:93:30:00, 2022-10-04 11:45:16, 2022-10-04 11:45:36,  1,  -1, WPA, ,   , -72,        0,        3,   0.  0.  0.  0,   0, , 
DC:16:B2:A6:CA:85, 2022-10-04 11:45:15, 2022-10-04 11:45:29, 11,  65, WPA2, CCMP, PSK, -72,        1,        0,   0.  0.  0.  0,   8, Honor 8X, 
AC:A3:1E:90:98:C0, 2022-10-04 11:45:15, 2022-10-04 11:45:35, 11, 130, WPA2, CCMP, PSK, -71,        2,        8,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:90:98:A0, 2022-10-04 11:45:09, 2022-10-04 11:45:36,  1, 130, WPA2, CCMP, PSK, -71,        6,        0,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:93:30:80, 2022-10-04 11:45:35, 2022-10-04 11:45:35, 11, 130, WPA2, CCMP, PSK, -71,        0,        0,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:D1:8D:60, 2022-10-04 11:45:35, 2022-10-04 11:45:35, 11, 195, WPA2, CCMP, PSK, -71,        1,        0,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:90:9B:C0, 2022-10-04 11:45:21, 2022-10-04 11:45:21, 11,  -1, WPA, ,   , -69,        0,       11,   0.  0.  0.  0,   0, , 
70:FC:8F:4C:29:28, 2022-10-04 11:45:21, 2022-10-04 11:45:35, 11, 195, WPA2, CCMP, PSK, -69,        3,        0,   0.  0.  0.  0,  14, Freebox-4C2927, 
E4:9E:12:1F:5A:A1, 2022-10-04 11:45:28, 2022-10-04 11:45:35, 11, 195, WPA2, CCMP TKIP, MGT, -67,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
AC:A3:1E:D0:D6:60, 2022-10-04 11:45:28, 2022-10-04 11:45:35, 11,  -1, WPA, ,   , -66,        0,        2,   0.  0.  0.  0,   0, , 
C8:B6:D3:6B:43:00, 2022-10-04 11:45:21, 2022-10-04 11:45:35, 11, 360, OPN, ,   , -66,        2,        0,   0.  0.  0.  0,  20, HUAWEI-LeaderAP-4300, 
AC:A3:1E:90:9A:E0, 2022-10-04 11:45:09, 2022-10-04 11:45:36,  1, 130, WPA2, CCMP, PSK, -65,        4,       20,   0.  0.  0.  0,   4, ESGI, 
E4:9E:12:1F:5A:A0, 2022-10-04 11:45:21, 2022-10-04 11:45:35, 11, 195, WPA2, CCMP, PSK, -65,        2,        0,   0.  0.  0.  0,  14, Freebox-1F5A9F, 
4A:B4:BA:7B:F9:A5, 2022-10-04 11:45:09, 2022-10-04 11:45:36,  1, 130, WPA2, CCMP, PSK, -65,        6,        0,   0.  0.  0.  0,   7, 10s1exe, 
C8:B6:D3:6B:43:01, 2022-10-04 11:45:14, 2022-10-04 11:45:35, 11, 360, WPA2 WPA, CCMP, PSK, -64,        3,        4,   0.  0.  0.  0,   5, ESGI2, 
2A:60:7C:E4:8F:EA, 2022-10-04 11:45:16, 2022-10-04 11:45:23,  1, 180, WPA2, CCMP, PSK, -64,        2,        0,   0.  0.  0.  0,  25, Redmi Note 8 (2021) chimo, 
52:BD:2A:C4:D4:0F, 2022-10-04 11:45:14, 2022-10-04 11:45:35, 11, 180, WPA2, CCMP, PSK, -63,        2,        2,   0.  0.  0.  0,  11, POCO M4 Pro, 
EC:08:6B:26:2F:17, 2022-10-04 11:45:26, 2022-10-04 11:45:40,  9, 270, WPA2 WPA, CCMP TKIP, PSK, -67,        1,        2,   0.  0.  0.  0,  10, ACLI_PARIS, 
CA:2F:5C:BA:0B:18, 2022-10-04 11:45:18, 2022-10-04 11:45:32,  3, 360, WPA3 WPA2, CCMP, SAE PSK, -58,        3,        0,   0.  0.  0.  0,   7, Unknown, 
38:FB:14:46:99:98, 2022-10-04 11:45:15, 2022-10-04 11:45:35, 11,  65, WPA2, CCMP, PSK, -53,        5,        0,   0.  0.  0.  0,   9, PasTouche, 
64:EB:8C:D0:FE:2B, 2022-10-04 11:45:15, 2022-10-04 11:45:35, 11, 130, WPA2, CCMP, PSK, -51,        5,        0,   0.  0.  0.  0,  24, EBD0FE2B-PE8EkCqFuh09Oud, 
AC:A3:1E:D0:D5:E0, 2022-10-04 11:45:15, 2022-10-04 11:45:35,  6, 195, WPA2, CCMP, PSK, -50,        7,      232,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:D0:D6:A0, 2022-10-04 11:45:09, 2022-10-04 11:45:36,  1, 195, WPA2, CCMP, PSK, -50,        3,      101,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:D0:D6:20, 2022-10-04 11:45:14, 2022-10-04 11:45:35, 11, 195, WPA2, CCMP, PSK, -46,        6,       19,   0.  0.  0.  0,   4, ESGI, 
66:37:E1:42:DC:40, 2022-10-04 11:45:22, 2022-10-04 11:45:35,  6, 180, WPA2, CCMP, PSK, -44,        3,        0,   0.  0.  0.  0,  21, Perry l'ornithorynque, 
D2:22:DA:13:92:95, 2022-10-04 11:45:11, 2022-10-04 11:45:38,  2, 360, WPA2, CCMP, PSK, -42,        5,        0,   0.  0.  0.  0,   4, DIEU, 
06:9A:E9:3D:6E:28, 2022-10-04 11:45:15, 2022-10-04 11:45:37,  6, 360, WPA2, CCMP, PSK, -41,        3,        3,   0.  0.  0.  0,  17, Galaxy S20 FED5E5, 
AC:84:C9:26:2F:C6, 2022-10-04 11:45:09, 2022-10-04 11:45:36,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -37,        9,        0,   0.  0.  0.  0,  12, Livebox-2fc2, 
8C:C5:B4:92:32:90, 2022-10-04 11:45:28, 2022-10-04 11:45:29,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D6:7B:13:A7:68:87, 2022-10-04 11:45:40, 2022-10-04 11:45:40, 10, 180, WPA2, CCMP, PSK, -73,        0,        0,   0.  0.  0.  0,  12, Livebox-a7f0, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
02:7F:1A:DE:F2:CD, 2022-10-04 11:45:20, 2022-10-04 11:45:20, -78,        1, (not associated) ,
00:76:B1:05:42:5D, 2022-10-04 11:45:28, 2022-10-04 11:45:29, -76,        2, 8C:C5:B4:92:32:90,
46:0E:F6:89:9C:D2, 2022-10-04 11:45:11, 2022-10-04 11:45:11, -72,        1, (not associated) ,
5E:95:D2:AD:24:12, 2022-10-04 11:45:15, 2022-10-04 11:45:15, -72,        2, (not associated) ,ESGI
64:6E:E0:ED:C9:9D, 2022-10-04 11:45:28, 2022-10-04 11:45:28, -72,        1, (not associated) ,
22:1A:CF:EB:7E:97, 2022-10-04 11:45:28, 2022-10-04 11:45:28, -72,        1, (not associated) ,
30:03:C8:0F:4C:11, 2022-10-04 11:45:29, 2022-10-04 11:45:29, -70,        1, (not associated) ,ESGI
AC:7B:A1:8D:01:76, 2022-10-04 11:45:14, 2022-10-04 11:45:35, -64,        4, C8:B6:D3:6B:43:01,
38:FC:98:EA:A8:21, 2022-10-04 11:45:17, 2022-10-04 11:45:17, -64,        1, (not associated) ,
74:4C:A1:DF:0B:23, 2022-10-04 11:45:28, 2022-10-04 11:45:29, -64,        5, DC:16:B2:A6:CA:85,
F2:9C:B5:5F:16:4E, 2022-10-04 11:45:15, 2022-10-04 11:45:15, -62,        1, (not associated) ,
D8:C0:A6:ED:EF:4D, 2022-10-04 11:45:15, 2022-10-04 11:45:15, -60,        2, AC:A3:1E:90:98:C0,
5C:BA:EF:3B:C4:D1, 2022-10-04 11:45:16, 2022-10-04 11:45:16, -60,        1, AC:A3:1E:93:30:00,
66:3F:D9:CC:9A:7C, 2022-10-04 11:45:38, 2022-10-04 11:45:38, -58,        1, (not associated) ,
F6:07:9C:C4:75:6B, 2022-10-04 11:45:31, 2022-10-04 11:45:31, -56,        2, (not associated) ,
62:1E:27:0C:27:73, 2022-10-04 11:45:35, 2022-10-04 11:45:35, -56,        1, (not associated) ,
50:84:92:8E:32:94, 2022-10-04 11:45:32, 2022-10-04 11:45:32, -54,        1, (not associated) ,
DE:92:13:27:A7:DC, 2022-10-04 11:45:38, 2022-10-04 11:45:38, -52,        2, (not associated) ,
1C:BF:C0:3E:DA:E9, 2022-10-04 11:45:29, 2022-10-04 11:45:29, -50,        2, AC:A3:1E:90:9A:E0,
1C:3E:84:00:A0:35, 2022-10-04 11:45:16, 2022-10-04 11:45:36, -48,        7, AC:A3:1E:D0:D6:A0,
AA:98:DB:66:30:55, 2022-10-04 11:45:18, 2022-10-04 11:45:18, -48,        2, (not associated) ,
30:F7:72:0C:60:D1, 2022-10-04 11:45:18, 2022-10-04 11:45:18, -46,        2, (not associated) ,
00:45:E2:6D:82:99, 2022-10-04 11:45:15, 2022-10-04 11:45:37, -46,       31, 06:9A:E9:3D:6E:28,
FE:69:A2:89:04:89, 2022-10-04 11:45:31, 2022-10-04 11:45:31, -46,        1, (not associated) ,
42:1D:E8:4E:AD:0A, 2022-10-04 11:45:32, 2022-10-04 11:45:32, -44,        2, (not associated) ,
B2:F7:1B:18:C6:91, 2022-10-04 11:45:35, 2022-10-04 11:45:35, -44,        1, (not associated) ,
00:C0:CA:84:4E:AB, 2022-10-04 11:45:28, 2022-10-04 11:45:28, -42,        1, AC:A3:1E:D0:D6:20,
9E:A6:FF:4B:9D:F6, 2022-10-04 11:45:35, 2022-10-04 11:45:35, -42,        1, (not associated) ,
22:2B:89:43:D6:CA, 2022-10-04 11:45:28, 2022-10-04 11:45:28, -38,        2, (not associated) ,
5C:BA:EF:3A:D4:6D, 2022-10-04 11:45:36, 2022-10-04 11:45:36, -38,        1, 4A:B4:BA:7B:F9:A5,
7C:B2:7D:D5:FB:9D, 2022-10-04 11:45:26, 2022-10-04 11:45:26, -36,        2, (not associated) ,
36:95:39:A0:9F:0D, 2022-10-04 11:45:38, 2022-10-04 11:45:38, -34,        1, (not associated) ,
30:F7:72:19:30:31, 2022-10-04 11:45:14, 2022-10-04 11:45:14,  -1,        1, 52:BD:2A:C4:D4:0F,
C0:E4:34:DC:80:71, 2022-10-04 11:45:15, 2022-10-04 11:45:35,  -1,      143, AC:A3:1E:D0:D5:E0,
7E:25:2C:E9:C5:C6, 2022-10-04 11:45:40, 2022-10-04 11:45:40, -50,        2, (not associated) ,

