
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
AC:A3:1E:D0:D5:E0, 2022-10-07 11:41:43, 2022-10-07 11:41:48,  6, 195, WPA2, CCMP, PSK, -59,        0,       20,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:90:9A:E0, 2022-10-07 11:41:43, 2022-10-07 11:41:49,  1, 130, WPA2, CCMP, PSK, -58,        1,        4,   0.  0.  0.  0,   4, ESGI, 
AC:84:C9:26:2F:C6, 2022-10-07 11:41:43, 2022-10-07 11:41:49,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -47,        2,        0,   0.  0.  0.  0,  12, Livebox-2fc2, 
2A:60:7C:E4:8F:EA, 2022-10-07 11:41:43, 2022-10-07 11:41:49,  1, 180, WPA2, CCMP, PSK, -65,        3,        0,   0.  0.  0.  0,  25, Redmi Note 8 (2021) chimo, 
AC:A3:1E:93:30:00, 2022-10-07 11:41:43, 2022-10-07 11:41:49,  1, 130, WPA2, CCMP, PSK, -63,        1,        9,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:93:23:E0, 2022-10-07 11:41:43, 2022-10-07 11:41:43,  1, 130, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,   4, ESGI, 
06:44:63:15:0D:73, 2022-10-07 11:41:43, 2022-10-07 11:41:43,  1, 180, WPA2, CCMP, PSK, -55,        2,        0,   0.  0.  0.  0,   8, Redmi 9A, 
D0:84:B0:FA:DD:56, 2022-10-07 11:41:43, 2022-10-07 11:41:43,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -71,        1,        0,   0.  0.  0.  0,   9, XXXX-dd50, 
AC:A3:1E:D1:CF:20, 2022-10-07 11:41:44, 2022-10-07 11:41:44,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
62:ED:03:0D:34:E1, 2022-10-07 11:41:45, 2022-10-07 11:41:52,  3,  54, OPN, ,   , -42,        7,        0,   0.  0.  0.  0,  11, TestAntoine, 
AC:A3:1E:90:98:C0, 2022-10-07 11:41:47, 2022-10-07 11:41:49, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:A3:1E:D0:D6:20, 2022-10-07 11:41:47, 2022-10-07 11:41:48, 10,  -1, WPA, ,   , -34,        0,        6,   0.  0.  0.  0,   0, , 
AC:A3:1E:D1:CF:80, 2022-10-07 11:41:48, 2022-10-07 11:41:48, 11, 195, WPA2, CCMP, PSK, -75,        1,        3,   0.  0.  0.  0,   4, ESGI, 
64:EB:8C:D0:FE:2B, 2022-10-07 11:41:48, 2022-10-07 11:41:48, 11, 130, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,  24, EBD0FE2B-PE8EkCqFuh09Oud, 
AC:A3:1E:93:30:40, 2022-10-07 11:41:48, 2022-10-07 11:41:48, 11, 130, WPA2, CCMP, PSK, -75,        1,        0,   0.  0.  0.  0,   4, ESGI, 
