Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ESGI;AC:A3:1E:D0:D5:E0;;6;No;WPA2,AES-CCM;No;195.0;0;0;0;20;0;0;20;;;Fri Oct  7 11:41:43 2022;Fri Oct  7 11:41:48 2022;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ESGI;AC:A3:1E:90:9A:E0;;1;No;WPA2,AES-CCM;No;130.0;0;1;0;4;0;0;4;;;Fri Oct  7 11:41:43 2022;Fri Oct  7 11:41:49 2022;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Livebox-2fc2;AC:84:C9:26:2F:C6;;1;No;WPA2,WPA,AES-CCM,TKIP;No;195.0;0;2;0;0;0;0;0;;;Fri Oct  7 11:41:43 2022;Fri Oct  7 11:41:49 2022;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Redmi Note 8 (2021) chimo;2A:60:7C:E4:8F:EA;;1;No;WPA2,AES-CCM;No;180.0;0;3;0;0;0;0;0;;;Fri Oct  7 11:41:43 2022;Fri Oct  7 11:41:49 2022;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ESGI;AC:A3:1E:93:30:00;;1;No;WPA2,AES-CCM;No;130.0;0;1;0;9;0;0;9;;;Fri Oct  7 11:41:43 2022;Fri Oct  7 11:41:49 2022;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Redmi 9A;06:44:63:15:0D:73;;1;No;WPA2,AES-CCM;No;180.0;0;2;0;0;0;0;0;;;Fri Oct  7 11:41:43 2022;Fri Oct  7 11:41:43 2022;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;TestAntoine;62:ED:03:0D:34:E1;;3;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Fri Oct  7 11:41:45 2022;Fri Oct  7 11:41:52 2022;-42;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;AC:A3:1E:90:98:C0;;10;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Oct  7 11:41:47 2022;Fri Oct  7 11:41:49 2022;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;AC:A3:1E:D0:D6:20;;10;No;WPA,None;No;-1.0;0;0;0;6;0;0;6;;;Fri Oct  7 11:41:47 2022;Fri Oct  7 11:41:48 2022;-34;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ESGI;AC:A3:1E:D1:CF:80;;11;No;WPA2,AES-CCM;No;195.0;0;1;0;3;0;0;3;;;Fri Oct  7 11:41:48 2022;Fri Oct  7 11:41:48 2022;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;ESGI;AC:A3:1E:90:98:A0;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;5;0;0;5;;;Fri Oct  7 11:41:48 2022;Fri Oct  7 11:41:48 2022;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;iPhone Y;2E:1E:C1:B6:61:07;;6;No;WPA3,AES-CCM,SAE;No;130.0;0;1;0;0;0;0;0;;;Fri Oct  7 11:41:48 2022;Fri Oct  7 11:41:48 2022;-37;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;ESGI;AC:A3:1E:D0:D6:A0;;1;No;WPA2,AES-CCM;No;195.0;0;1;0;3;0;0;3;;;Fri Oct  7 11:41:49 2022;Fri Oct  7 11:41:49 2022;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
