
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
AC:A3:1E:93:30:40, 2022-10-04 12:08:09, 2022-10-04 12:08:09, 11,  -1, WPA, ,   , -73,        0,        1,   0.  0.  0.  0,   0, , 
52:BD:2A:C4:D4:0F, 2022-10-04 12:08:09, 2022-10-04 12:08:13, 11, 180, WPA2, CCMP, PSK, -65,        4,        1,   0.  0.  0.  0,  11, POCO M4 Pro, 
70:FC:8F:4C:29:29, 2022-10-04 12:08:09, 2022-10-04 12:08:13, 11, 195, WPA2, CCMP TKIP, MGT, -62,        4,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
AC:A3:1E:93:30:20, 2022-10-04 12:08:09, 2022-10-04 12:08:09, 11, 130, WPA2, CCMP, PSK, -65,        1,        0,   0.  0.  0.  0,   4, ESGI, 
DC:00:B0:BF:08:28, 2022-10-04 12:08:09, 2022-10-04 12:08:09,  6, 130, WPA2, CCMP, PSK, -65,        1,        0,   0.  0.  0.  0,  14, Freebox-6869E2, 
2A:60:7C:E4:8F:EA, 2022-10-04 12:08:06, 2022-10-04 12:08:06,  1, 180, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,  25, Redmi Note 8 (2021) chimo, 
70:FC:8F:4C:29:28, 2022-10-04 12:08:09, 2022-10-04 12:08:09, 11, 195, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,  14, Freebox-4C2927, 
64:EB:8C:D0:FE:2B, 2022-10-04 12:08:09, 2022-10-04 12:08:13, 11, 130, WPA2, CCMP, PSK, -54,        3,        0,   0.  0.  0.  0,  24, EBD0FE2B-PE8EkCqFuh09Oud, 
CA:2F:5C:BA:0B:18, 2022-10-04 12:08:06, 2022-10-04 12:08:12,  3, 360, WPA3 WPA2, CCMP, SAE PSK, -49,        3,        0,   0.  0.  0.  0,   7, Unknown, 
E4:9E:12:1F:5A:A1, 2022-10-04 12:08:09, 2022-10-04 12:08:13, 11, 195, WPA2, CCMP TKIP, MGT, -52,        2,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
AC:A3:1E:D0:D5:E0, 2022-10-04 12:08:09, 2022-10-04 12:08:14,  6, 195, WPA2, CCMP, PSK, -53,        1,       51,   0.  0.  0.  0,   4, ESGI, 
AC:A3:1E:D0:D6:A0, 2022-10-04 12:08:06, 2022-10-04 12:08:14,  1, 195, WPA2, CCMP, PSK, -47,        6,       84,   0.  0.  0.  0,   4, ESGI, 
D2:22:DA:13:92:95, 2022-10-04 12:08:07, 2022-10-04 12:08:15,  2, 360, WPA2, CCMP, PSK, -44,        4,        0,   0.  0.  0.  0,   4, DIEU, 
AC:A3:1E:D0:D6:20, 2022-10-04 12:08:09, 2022-10-04 12:08:13, 11, 195, WPA2, CCMP, PSK, -49,        3,        0,   0.  0.  0.  0,   4, ESGI, 
66:37:E1:42:DC:40, 2022-10-04 12:08:06, 2022-10-04 12:08:15,  7, 180, WPA2, CCMP, PSK, -40,        4,        0,   0.  0.  0.  0,  21, Perry l'ornithorynque, 
E4:9E:12:1F:5A:A0, 2022-10-04 12:08:09, 2022-10-04 12:08:13, 11, 195, WPA2, CCMP, PSK, -52,        4,        0,   0.  0.  0.  0,  14, Freebox-1F5A9F, 
AC:84:C9:26:2F:C6, 2022-10-04 12:08:06, 2022-10-04 12:08:14,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -47,        5,        0,   0.  0.  0.  0,  12, Livebox-2fc2, 
06:9A:E9:3D:6E:28, 2022-10-04 12:08:06, 2022-10-04 12:08:14,  6, 360, WPA2, CCMP, PSK, -40,        4,        1,   0.  0.  0.  0,  17, Galaxy S20 FED5E5, 
26:B1:0D:F8:37:05, 2022-10-04 12:08:07, 2022-10-04 12:08:15,  8,  54, OPN, ,   , -33,        7,        0,   0.  0.  0.  0,   6, ESGI_m, 
06:2D:4E:0F:82:FC, 2022-10-04 12:08:07, 2022-10-04 12:08:16,  8,  54, OPN, ,   , -46,        9,        1,   0.  0.  0.  0,   5, ESGI_, 
22:35:A2:0A:8D:0A, 2022-10-04 12:08:06, 2022-10-04 12:08:16,  3,  54, OPN, ,   , -26,       12,        0,   0.  0.  0.  0,   8, lukatest, 
AC:A3:1E:93:30:00, 2022-10-04 12:08:06, 2022-10-04 12:08:06,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:A3:1E:90:9A:E0, 2022-10-04 12:08:07, 2022-10-04 12:08:15,  1, 130, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,   4, ESGI, 
DC:16:B2:A6:CA:85, 2022-10-04 12:08:09, 2022-10-04 12:08:09, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2022-10-04 12:08:09, 2022-10-04 12:08:14, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:A3:1E:90:98:C0, 2022-10-04 12:08:13, 2022-10-04 12:08:13, 11,  -1, WPA, ,   , -70,        0,        7,   0.  0.  0.  0,   0, , 
C8:B6:D3:6B:43:01, 2022-10-04 12:08:13, 2022-10-04 12:08:13, 11,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
AC:A3:1E:90:98:A0, 2022-10-04 12:08:14, 2022-10-04 12:08:14,  1, 130, WPA2, CCMP, PSK, -61,        0,        0,   0.  0.  0.  0,   4, ESGI, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
74:4C:A1:DF:0B:23, 2022-10-04 12:08:09, 2022-10-04 12:08:09, -70,       11, DC:16:B2:A6:CA:85,
DE:0A:6B:B2:89:8F, 2022-10-04 12:08:09, 2022-10-04 12:08:09, -68,        1, (not associated) ,ESGI
B2:A1:71:C5:2B:1B, 2022-10-04 12:08:11, 2022-10-04 12:08:11, -64,        3, 06:2D:4E:0F:82:FC,
38:FC:98:EA:A8:21, 2022-10-04 12:08:06, 2022-10-04 12:08:06, -58,        2, AC:A3:1E:93:30:00,
82:F7:5E:53:1A:61, 2022-10-04 12:08:08, 2022-10-04 12:08:08, -56,        1, (not associated) ,
1C:BF:C0:3E:DA:E9, 2022-10-04 12:08:07, 2022-10-04 12:08:15, -60,      101, AC:A3:1E:90:9A:E0,
F6:00:D1:31:20:F4, 2022-10-04 12:08:08, 2022-10-04 12:08:08, -54,        2, (not associated) ,
DE:71:C9:58:76:C1, 2022-10-04 12:08:11, 2022-10-04 12:08:11, -54,        2, (not associated) ,
3E:22:9E:AF:CF:87, 2022-10-04 12:08:10, 2022-10-04 12:08:14, -50,        3, 00:25:00:FF:94:73,
9E:E0:1F:11:73:BC, 2022-10-04 12:08:10, 2022-10-04 12:08:10, -50,        2, (not associated) ,
D2:2E:CF:A0:11:C0, 2022-10-04 12:08:10, 2022-10-04 12:08:14, -50,        3, 00:25:00:FF:94:73,
86:A2:F5:D0:37:F5, 2022-10-04 12:08:10, 2022-10-04 12:08:14, -50,        2, 00:25:00:FF:94:73,
F2:14:55:FD:48:59, 2022-10-04 12:08:10, 2022-10-04 12:08:10, -46,        1, (not associated) ,
00:45:E2:6D:82:99, 2022-10-04 12:08:06, 2022-10-04 12:08:14, -48,        7, 06:9A:E9:3D:6E:28,
00:C0:CA:84:4E:AB, 2022-10-04 12:08:06, 2022-10-04 12:08:14, -42,       39, AC:A3:1E:D0:D6:A0,
38:CA:73:52:2A:72, 2022-10-04 12:08:09, 2022-10-04 12:08:14, -44,       23, AC:A3:1E:D0:D5:E0,
24:2E:02:FB:0C:50, 2022-10-04 12:08:06, 2022-10-04 12:08:06, -40,        1, (not associated) ,
6E:CE:A7:FE:C2:07, 2022-10-04 12:08:07, 2022-10-04 12:08:08, -40,       16, 22:35:A2:0A:8D:0A,lukatest
C2:17:79:76:05:3D, 2022-10-04 12:08:10, 2022-10-04 12:08:10, -40,        2, (not associated) ,
72:D0:48:ED:C5:C8, 2022-10-04 12:08:09, 2022-10-04 12:08:09, -38,        2, (not associated) ,
E2:A4:CA:EC:EB:CB, 2022-10-04 12:08:09, 2022-10-04 12:08:14, -34,        4, 00:25:00:FF:94:73,
5A:C8:B6:71:9B:D6, 2022-10-04 12:08:10, 2022-10-04 12:08:14, -40,        3, 00:25:00:FF:94:73,
9A:50:2D:FC:75:85, 2022-10-04 12:08:10, 2022-10-04 12:08:10, -36,        1, (not associated) ,ESGI
BE:CF:8A:40:CC:24, 2022-10-04 12:08:11, 2022-10-04 12:08:11, -34,        1, (not associated) ,
30:F7:72:19:30:31, 2022-10-04 12:08:09, 2022-10-04 12:08:09,  -1,        1, 52:BD:2A:C4:D4:0F,
BA:48:99:5B:EA:58, 2022-10-04 12:08:12, 2022-10-04 12:08:12, -44,        4, (not associated) ,
BA:4B:53:9E:57:5D, 2022-10-04 12:08:13, 2022-10-04 12:08:13, -52,        1, (not associated) ,
FA:CB:0C:CC:78:7B, 2022-10-04 12:08:13, 2022-10-04 12:08:13, -42,        4, (not associated) ,Bbox-19557A
42:73:FD:EF:2A:E9, 2022-10-04 12:08:13, 2022-10-04 12:08:13, -36,        1, (not associated) ,
AC:7B:A1:8D:01:76, 2022-10-04 12:08:13, 2022-10-04 12:08:13, -60,        3, C8:B6:D3:6B:43:01,
42:FC:65:B5:2B:4D, 2022-10-04 12:08:14, 2022-10-04 12:08:14, -36,        1, 00:25:00:FF:94:73,
4A:49:48:FC:47:AE, 2022-10-04 12:08:14, 2022-10-04 12:08:14, -40,        3, (not associated) ,
76:0C:87:E6:B1:FD, 2022-10-04 12:08:15, 2022-10-04 12:08:15, -62,        2, (not associated) ,

