Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;POCO M4 Pro;52:BD:2A:C4:D4:0F;;11;No;WPA2,AES-CCM;No;180.0;0;4;0;1;0;0;1;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:13 2022;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;FreeWifi_secure;70:FC:8F:4C:29:29;;11;No;WPA2,AES-CCM,TKIP;No;195.0;0;4;0;0;0;0;0;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:13 2022;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;EBD0FE2B-PE8EkCqFuh09Oud;64:EB:8C:D0:FE:2B;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:13 2022;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Unknown;CA:2F:5C:BA:0B:18;;3;No;WPA3,AES-CCM,SAE;No;360.0;0;3;0;0;0;0;0;;;Tue Oct  4 12:08:06 2022;Tue Oct  4 12:08:12 2022;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;FreeWifi_secure;E4:9E:12:1F:5A:A1;;11;No;WPA2,AES-CCM,TKIP;No;195.0;0;2;0;0;0;0;0;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:13 2022;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ESGI;AC:A3:1E:D0:D5:E0;;6;No;WPA2,AES-CCM;No;195.0;0;1;0;51;0;0;51;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:14 2022;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ESGI;AC:A3:1E:D0:D6:A0;;1;No;WPA2,AES-CCM;No;195.0;0;6;0;84;0;0;84;;;Tue Oct  4 12:08:06 2022;Tue Oct  4 12:08:14 2022;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;DIEU;D2:22:DA:13:92:95;;2;No;WPA2,AES-CCM;No;360.0;0;4;0;0;0;0;0;;;Tue Oct  4 12:08:07 2022;Tue Oct  4 12:08:15 2022;-44;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ESGI;AC:A3:1E:D0:D6:20;;11;No;WPA2,AES-CCM;No;195.0;0;3;0;0;0;0;0;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:13 2022;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Perry l'ornithorynque;66:37:E1:42:DC:40;;7;No;WPA2,AES-CCM;No;180.0;0;4;0;0;0;0;0;;;Tue Oct  4 12:08:06 2022;Tue Oct  4 12:08:15 2022;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Freebox-1F5A9F;E4:9E:12:1F:5A:A0;;11;No;WPA2,AES-CCM;No;195.0;0;4;0;0;0;0;0;;;Tue Oct  4 12:08:09 2022;Tue Oct  4 12:08:13 2022;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Livebox-2fc2;AC:84:C9:26:2F:C6;;1;No;WPA2,WPA,AES-CCM,TKIP;No;195.0;0;5;0;0;0;0;0;;;Tue Oct  4 12:08:06 2022;Tue Oct  4 12:08:14 2022;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Galaxy S20 FED5E5;06:9A:E9:3D:6E:28;;6;No;WPA2,AES-CCM;No;360.0;0;4;0;1;0;0;1;;;Tue Oct  4 12:08:06 2022;Tue Oct  4 12:08:14 2022;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;ESGI_m;26:B1:0D:F8:37:05;;8;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Oct  4 12:08:07 2022;Tue Oct  4 12:08:15 2022;-33;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;ESGI_;06:2D:4E:0F:82:FC;;8;No;OPN,None;No;54.0;0;9;0;1;0;0;1;;;Tue Oct  4 12:08:07 2022;Tue Oct  4 12:08:16 2022;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
